"doc_id","text","ent_type","start_id","length","id"
"text1","North Carolina","GPE",2,2,"45838828"
"text1","Georgia","GPE",2,1,"45838116"
"text1","Connecticut","GPE",4,1,"45838116"
"text1","Mississippi","GPE",2,1,"45837692"
"text1","Gangneung","GPE",6,1,"45835909"
"text1","Korea","GPE",8,1,"45835909"
"text1","Tijuana","GPE",2,1,"45833600"
"text1","West Memphis","GPE",2,2,"45830496"
"text1","Arkansas","GPE",5,1,"45830496"
"text1","Texas","GPE",7,1,"45811665"
"text1","Aruba","GPE",5,1,"45811639"
"text1","Arkansas","GPE",2,1,"45811646"
"text1","Tennessee","GPE",2,1,"45811603"
"text1","Texas","GPE",6,1,"45801393"
"text1","Puerto Rico","GPE",2,2,"45800430"
